Location Name,Date,Start Time,End Time,Status,Notes
Access Bronx Charter School,9/12/2026,9:00 am,5:00 pm,active,Day 1
Bronx Community College,9/12/2026,9:00 am,5:00 pm,active,Day 1
Access Bronx Charter School,9/19/2026,9:00 am,5:00 pm,active,Day 2
Bronx Community College,9/19/2026,9:00 am,5:00 pm,active,Day 2
Access Bronx Charter School,9/26/2026,9:00 am,5:00 pm,active,Day 3
Bronx Community College,9/26/2026,9:00 am,5:00 pm,active,Day 3
Access Bronx Charter School,10/3/2026,9:00 am,5:00 pm,active,Day 4
Bronx Community College,10/3/2026,9:00 am,5:00 pm,active,Day 4
Access Bronx Charter School,10/10/2026,9:00 am,5:00 pm,active,Day 5
Bronx Community College,10/10/2026,9:00 am,5:00 pm,active,Day 5
Access Bronx Charter School,10/17/2026,9:00 am,5:00 pm,active,Day 6
Bronx Community College,10/17/2026,9:00 am,5:00 pm,active,Day 6
Access Bronx Charter School,10/24/2026,9:00 am,5:00 pm,active,Day 7
Bronx Community College,10/24/2026,9:00 am,5:00 pm,active,Day 7
Access Bronx Charter School,10/31/2026,9:00 am,5:00 pm,active,Day 8
Bronx Community College,10/31/2026,9:00 am,5:00 pm,active,Day 8
Access Bronx Charter School,11/7/2026,9:00 am,5:00 pm,active,Day 9
Bronx Community College,11/7/2026,9:00 am,5:00 pm,active,Day 9
Access Bronx Charter School,11/14/2026,9:00 am,5:00 pm,active,Day 10
Bronx Community College,11/14/2026,9:00 am,5:00 pm,active,Day 10
Access Bronx Charter School,11/21/2026,9:00 am,5:00 pm,active,Day 11
Bronx Community College,11/21/2026,9:00 am,5:00 pm,active,Day 11
Access Bronx Charter School,11/28/2026,9:00 am,5:00 pm,inactive,Holiday Week
Bronx Community College,11/28/2026,9:00 am,5:00 pm,inactive,Holiday Week
Access Bronx Charter School,12/5/2026,9:00 am,5:00 pm,active,Day 12
Bronx Community College,12/5/2026,9:00 am,5:00 pm,active,Day 12
Access Bronx Charter School,12/12/2026,9:00 am,5:00 pm,active,Day 13
Bronx Community College,12/12/2026,9:00 am,5:00 pm,active,Day 13
Access Bronx Charter School,12/19/2026,9:00 am,5:00 pm,active,Day 14
Bronx Community College,12/19/2026,9:00 am,5:00 pm,active,Day 14
